min_score,max_score,event,nonevent,dec_pop,dec_eventrate,event_rate,nonevent_rate,cum_eventrate,cum_noneventrate,lift,ks
748,824,6425,195,6620,97.05%,11.46%,1.74%,11.46%,1.74%,1.16,9.700000000000001
713,747,6314,423,6737,93.72%,11.27%,3.77%,22.73%,5.51%,1.12,17.2
687,712,6135,571,6706,91.49%,10.95%,5.09%,33.68%,10.59%,1.1,23.1
665,686,5908,758,6666,88.63%,10.54%,6.75%,44.22%,17.34%,1.06,26.900000000000002
644,664,5859,918,6777,86.45%,10.45%,8.18%,54.68%,25.52%,1.04,29.2
624,643,5541,1094,6635,83.51%,9.89%,9.75%,64.56%,35.27%,1.0,29.299999999999997
602,623,5539,1372,6911,80.15%,9.88%,12.22%,74.45%,47.49%,0.96,27.0
577,601,5107,1500,6607,77.30%,9.11%,13.36%,83.56%,60.85%,0.93,22.7
542,576,4927,1886,6813,72.32%,8.79%,16.80%,92.35%,77.65%,0.87,14.7
427,541,4287,2509,6796,63.08%,7.65%,22.35%,100.00%,100.00%,0.76,0.0
427,824,56042,11226,67268,83.31%,100.00%,100.00%,100.00%,100.00%,1.0,29.299999999999997
