score,target
636,1
679,1
584,1
555,0
637,1
514,1
638,1
693,1
538,0
594,0
651,1
536,1
711,0
758,1
766,1
628,1
496,1
670,1
755,1
719,1
681,1
537,0
707,0
685,1
607,1
771,1
626,0
802,1
684,1
719,1
733,1
464,1
620,1
589,1
547,0
611,1
530,1
795,1
585,1
707,1
795,1
674,1
470,1
587,0
810,1
690,1
697,1
697,1
736,1
672,0
638,1
535,1
716,1
792,1
497,1
669,1
601,1
677,1
565,1
810,1
619,1
607,1
547,1
570,0
710,1
585,0
566,0
494,1
686,1
702,1
724,1
536,0
679,1
543,0
721,0
644,1
696,1
765,1
628,1
585,0
744,1
534,1
716,1
672,1
572,1
660,0
688,1
700,1
542,1
722,1
768,1
690,1
523,1
621,0
672,1
574,1
530,0
604,0
658,1
508,1
552,1
691,1
692,1
582,1
730,1
557,1
705,1
684,1
584,0
725,1
618,1
556,1
594,1
783,1
813,1
564,0
796,1
630,1
575,0
514,1
673,0
569,1
633,1
663,1
582,1
806,1
712,1
652,1
787,1
638,1
550,1
587,1
791,1
658,1
548,1
561,1
638,1
557,1
529,0
625,0
676,1
724,1
510,1
669,1
617,1
674,1
590,0
597,0
661,1
650,1
737,1
757,1
801,1
571,1
788,1
649,1
628,1
760,1
589,1
613,1
552,0
753,1
478,0
611,0
821,1
691,1
620,1
562,1
535,0
552,1
604,1
669,1
633,1
697,1
542,1
694,1
813,1
698,1
553,1
770,1
540,1
631,1
546,0
546,1
717,1
608,0
742,1
722,1
609,1
691,1
598,1
559,0
675,1
571,1
627,1
595,1
674,1
598,1
704,1
546,1
638,0
727,1
524,1
610,1
715,1
545,1
531,1
731,1
505,0
655,1
553,0
561,1
516,0
656,1
563,1
628,1
612,0
578,0
550,0
571,1
676,1
806,1
504,1
679,1
614,1
546,1
688,0
599,1
707,1
639,0
798,1
798,1
569,1
665,1
703,1
578,0
472,0
547,0
695,0
666,1
758,1
620,1
654,1
664,1
677,1
640,1
754,1
602,1
558,1
656,1
567,0
544,0
632,1
541,0
759,1
455,1
688,0
650,1
692,1
649,1
583,1
680,1
665,1
633,1
546,0
574,0
590,1
743,1
530,1
799,1
778,0
735,1
738,0
539,1
747,1
593,1
472,1
718,1
531,0
748,1
648,0
762,1
745,1
580,1
642,1
667,1
646,1
504,1
496,0
686,1
574,0
717,1
707,1
674,1
723,1
681,1
806,1
643,1
617,1
740,1
632,1
641,1
666,1
582,0
596,1
815,1
698,1
700,1
681,1
564,0
466,0
495,0
581,1
631,1
625,0
590,1
656,0
700,1
611,1
551,0
639,0
595,1
591,1
776,1
761,1
621,1
580,1
575,1
520,1
810,1
586,1
610,0
601,1
610,1
632,1
666,1
618,1
752,0
522,1
688,0
572,1
637,1
755,1
590,1
499,0
495,0
707,1
741,1
717,0
593,1
563,1
549,0
748,0
753,1
678,1
711,1
692,1
703,1
540,1
547,1
570,1
514,0
625,1
650,0
771,1
467,0
709,1
664,0
636,1
651,1
759,1
637,1
627,1
450,1
470,0
636,1
694,1
715,1
619,1
792,1
665,1
506,1
659,0
624,1
616,1
528,0
582,1
570,0
553,0
566,0
718,1
699,1
660,1
782,1
707,1
790,1
489,1
658,1
493,1
736,1
599,0
606,1
561,1
712,1
713,0
560,1
657,1
817,1
489,0
642,1
691,1
680,1
592,1
760,1
806,1
585,0
653,1
764,1
531,0
688,1
644,1
542,1
548,1
663,1
536,1
538,0
757,1
546,0
567,1
634,0
734,1
804,1
542,0
523,1
578,1
642,1
551,1
724,1
566,1
697,1
506,0
783,1
573,0
610,1
554,0
614,0
751,1
547,1
757,1
573,0
657,1
780,1
677,0
515,1
606,1
670,1
504,0
746,1
760,1
594,0
527,0
571,1
652,1
528,1
641,1
762,1
759,1
733,1
542,0
661,1
809,1
610,1
575,1
688,1
727,1
638,0
561,0
528,1
728,1
604,1
801,1
717,0
668,1
747,1
547,0
634,1
645,1
731,1
508,1
586,1
786,1
457,1
757,1
557,1
683,1
477,0
626,1
641,0
614,0
567,0
545,1
753,1
632,1
594,1
537,1
